source_text,original_description,cleaned_description,prefill_merchant_in_csv,local_provider,local_direction,local_counterparty,local_pick_merchant,local_is_unknown,server_provider,server_direction,server_counterparty,server_prefill_merchant,server_ai_merchant,server_final_decision,final_decision,decision_source
BARK FOR C* BARK FOR C DORAL,,,BARK FOR C,unknown,,,Bark For C Bark,0,,,,,,,Bark For C Bark,local
CHEVRON 0357850 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
FLOSSOME ORTHODONTICS DORAL,,,Flossome Orthodontics,unknown,,,Flossome Orthodontics Doral,0,,,,,,,Flossome Orthodontics Doral,local
MENS WEARHOUSE #3333 MIAMI,,,Men's Wearhouse,unknown,,,Mens Wearhouse Miami,0,,,,,,,Mens Wearhouse Miami,local
TOTAL WINE & MORE 9 DORAL,,,Total Wine & More,unknown,,,Total Wine More Doral,0,,,,,,,Total Wine More Doral,local
SUNPASS*ACC613078 888-865-5352 FL S385167730002718,,,SUNPASS,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
ZELLE TO PROFESSIONAL PELUQUERO LUGUS ON 06/17 PELUQUERIA,,,Professional Peluquero Lugus,zelle,to,PROFESSIONAL PELUQUERO LUGUS ON 06,Zelle To PROFESSIONAL PELUQUERO LUGUS ON 06,0,,,,,,,Zelle To PROFESSIONAL PELUQUERO LUGUS ON 06,local
ZELLE TO THE 305 BEACH ON 06/17 CAPITAL CONTRIBUTION TO COVER MONTHLY SPEND,,,Beach,zelle,to,THE 305 BEACH ON 06,Zelle To THE 305 BEACH ON 06,0,,,,,,,Zelle To THE 305 BEACH ON 06,local
CHEVRON 0358537 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
RECURRING TRANSFER FROM FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring From Faleni M,0,,,,,,,Recurring From Faleni M,local
SUNPASS*ACC613078 888-865-5352 FL S305164237839806,,,SUNPASS,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
SUNPASS*ACC613078 888-865-5352 FL S465165232937173,,,SUNPASS,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
RECURRING TRANSFER TO FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
BRADENTON BEACH LIQUOR BRADENTON,,,BRADENTON BEACH LIQUOR,unknown,,,Bradenton Beach Liquor Bradenton,0,,,,,,,Bradenton Beach Liquor Bradenton,local
CHEVRON 0358537 BONITA SPRING,,,Chevron,unknown,,,Chevron Bonita Spring,0,,,,,,,Chevron Bonita Spring,local
YETI 1-833-225-9384,,,YETI,unknown,,,Yeti,0,,,,,,,Yeti,local
YETI 1-833-225-9384,,,YETI,unknown,,,Yeti,0,,,,,,,Yeti,local
CROWDER BROS CORTEZ BRADENTON,,,Crowder Bros,unknown,,,Crowder Bros Cortez Bradenton,0,,,,,,,Crowder Bros Cortez Bradenton,local
SQ *ALMA DE ESPANA Sarasota,,,ALMA DE ESPANA,unknown,,,Sq Alma De Espana,0,,,,,,,Sq Alma De Espana,local
AMERICAN0010272033911 MEXICO CITY MEXNAME: FALENI/ANDREINA DEPART:06/13/2025 EBC TO FEE: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Mexico City Mexname Faleni/Andreina,0,,,,,,,Mexico City Mexname Faleni/Andreina,local
CHEVRON 0357850 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
NATL GEN INS*RECURRING 800-462-2123,,,NATL GEN INS,unknown,,,Natl Gen Ins Recurring,0,,,,,,,Natl Gen Ins Recurring,local
SHELL OIL 575424870QPS NAPLES,,,Shell,unknown,,,Shell Oil Naples,0,,,,,,,Shell Oil Naples,local
SHELL OIL 575424870QPS NAPLES,,,Shell,unknown,,,Shell Oil Naples,0,,,,,,,Shell Oil Naples,local
THE HOME DEPOT #6378 HIALEAH,,,The Home Depot,unknown,,,The Home Depot Hialeah,0,,,,,,,The Home Depot Hialeah,local
ATM WITHDRAWAL AUTHORIZED ON 06/13 1700 NW 87TH AVE DORAL ATM ID 6408Y,,,Financial Transactions,unknown,,,Atm Authorized On Nw,0,,,,,,,Atm Authorized On Nw,local
ZELLE TO QUERO CESAR ON 06/13,,,Quero Cesar,zelle,to,QUERO CESAR ON 06,Zelle To QUERO CESAR ON 06,0,,,,,,,Zelle To QUERO CESAR ON 06,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
"BUS TELE SVCS DIRECT DEP 250613A2Q FALENI,MICHEL",,,BTS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
CITI CARD ONLINE PAYMENT 250612 MICHEL FALENI,,,Financial Transactions,unknown,,,Citi Card Michel Faleni,0,,,,,,,Citi Card Michel Faleni,local
CITI CARD ONLINE PAYMENT 250612 MICHEL FALENI,,,Financial Transactions,unknown,,,Citi Card Michel Faleni,0,,,,,,,Citi Card Michel Faleni,local
MEAT CLUB MARKET DORAL,,,Meat Club Market,unknown,,,Meat Club Market Doral,0,,,,,,,Meat Club Market Doral,local
MEAT TOWN DISTRIBUTORS DORAL,,,Meat Town Distributors,unknown,,,Meat Town Distributors Doral,0,,,,,,,Meat Town Distributors Doral,local
"ONLINE PAYMENT, THANK YOU",,,Financial Transactions,unknown,,,Thank You,0,,,,,,,Thank You,local
BMW BANK BMWFS PYMT 250611,,,Moto,unknown,,,Bmw Bank Bmwfs Pymt,0,,,,,,,Bmw Bank Bmwfs Pymt,local
ONLINE TRANSFER TO FERNANDEZ M EVERYDAY CHECKING GASTOS EXTRAS CASA,,,Fernandez M,unknown,,,To Fernandez M Everyday,0,,,,,,,To Fernandez M Everyday,local
SUNPASS*ACC613078 888-865-5352 FL S465163036071320,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
SQ *CENTRAL LOCKSMITH Doral,,,Central Locksmith,unknown,,,Sq Central Locksmith Doral,0,,,,,,,Sq Central Locksmith Doral,local
SUNPASS*ACC613078 888-865-5352 FL S585161819799615,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
ZELLE TO ROMERO YELITZA COSTURERA DORAL ON 06/11 ALTERACIONES ANDRE,,,Yelitza Romero,zelle,to,ROMERO YELITZA COSTURERA DORAL ON 06,Zelle To ROMERO YELITZA COSTURERA DORAL ON 06,0,,,,,,,Zelle To ROMERO YELITZA COSTURERA DORAL ON 06,local
AT&T UVERSE PAYMENT,,,AT&T,unknown,,,At&T Uverse Payment,0,,,,,,,At&T Uverse Payment,local
AMAZON RETA* N64E398F1 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
HCO DENTAL INC MIRAMAR,,,HCO Dental,unknown,,,Hco Dental Inc Miramar,0,,,,,,,Hco Dental Inc Miramar,local
THE HOME DEPOT #3331 MIAMI,,,The Home Depot,unknown,,,The Home Depot Miami,0,,,,,,,The Home Depot Miami,local
NETFLIX.COM NETFLIX.COM CA S465160319284546,,,Netflix,unknown,,,Netflix.Com Netflix.Com Ca,0,,,,,,,Netflix.Com Netflix.Com Ca,local
CHEVRON 0204900 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
DIVINO CEVICHE DORAL MIAMI,,,Divino Ceviche,unknown,,,Divino Ceviche Doral Miami,0,,,,,,,Divino Ceviche Doral Miami,local
EXPERIAN* CREDIT REPO COSTA MESA,,,Experian,unknown,,,Experian Repo Costa Mesa,0,,,,,,,Experian Repo Costa Mesa,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING GASOLINA,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
SQ *440 CORPORATIO Miami Beach FL S305158557455369,,,440 Corporatio,unknown,,,Sq Corporatio Miami Beach,0,,,,,,,Sq Corporatio Miami Beach,local
SQ *440 CORPORATIO Miami Beach FL S305158561548251,,,440 Corporatio,unknown,,,Sq Corporatio Miami Beach,0,,,,,,,Sq Corporatio Miami Beach,local
SQ *440 CORPORATIO Miami Beach FL S585157666088102,,,440 Corporatio,unknown,,,Sq Corporatio Miami Beach,0,,,,,,,Sq Corporatio Miami Beach,local
SUNPASS*ACC613078 888-865-5352 FL S385159608547320,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
SUNPASS*ACC613078 888-865-5352 FL S585158262036260,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
GPTFORWORK.COM      BRUXELLES,,,GPTForWork,unknown,,,Gptforwork.Com Bruxelles,0,,,,,,,Gptforwork.Com Bruxelles,local
SPORT CAR WASH 00000DORAL,,,Sport Car Wash,unknown,,,Sport Car Wash,0,,,,,,,Sport Car Wash,local
AA Kiosk0010271756242 Miami FLNAME: FALENI/ANDREINA DEPART:06/08/2025 MIA TO MEX: AA: CLASS:O : STOP: O,,,Restaurant,unknown,,,Aa Miami Flname Faleni/Andreina,0,,,,,,,Aa Miami Flname Faleni/Andreina,local
Dicks Sporting Goods Miami,,,Dicks Sporting Goods,unknown,,,Dicks Sporting Goods Miami,0,,,,,,,Dicks Sporting Goods Miami,local
MERPAGO*MORAMORA CIUDAD DE MEX MEX,,,Moramora,unknown,,,Merpago Moramora Ciudad De,0,,,,,,,Merpago Moramora Ciudad De,local
PACSUN #1108 MIAMI,,,Pacsun,unknown,,,Pacsun Miami,0,,,,,,,Pacsun Miami,local
TST* ESPANOLITA MIAMI BEACH,,,Espanolita,unknown,,,Tst Espanolita Miami Beach,0,,,,,,,Tst Espanolita Miami Beach,local
TST* PISCO DORAL DORAL,,,Pisco,unknown,,,Tst Pisco Doral Doral,0,,,,,,,Tst Pisco Doral Doral,local
CARNE EN VARA EXPRESMEDLEY,,,Carne en Vara,unknown,,,Carne En Vara Expresmedley,0,,,,,,,Carne En Vara Expresmedley,local
CITY OF MIAMI BEACHQPS MIAMI BEACH,,,City of Miami Beach,unknown,,,City Of Miami Beachqps,0,,,,,,,City Of Miami Beachqps,local
SQ *FILLMORE MIAMI BEA Miami beach,,,Fillmore,unknown,,,Sq Fillmore Miami Bea,0,,,,,,,Sq Fillmore Miami Bea,local
CITY OF MIAMI BEACH MIAMI BEACH,,,City of Miami Beach,unknown,,,City Of Miami Beach,0,,,,,,,City Of Miami Beach,local
CLARK LIQUOR 5 DORAL,,,Clark Liquor,unknown,,,Clark Liquor Doral,0,,,,,,,Clark Liquor Doral,local
PFY**Coral Gables Payb CORALGABLES,,,Coral Gables,unknown,,,Pfy Coral Gables Payb,0,,,,,,,Pfy Coral Gables Payb,local
PFY**Coral Gables Payb CORALGABLES,,,Coral Gables,unknown,,,Pfy Coral Gables Payb,0,,,,,,,Pfy Coral Gables Payb,local
PlanetTaxFree-Spain Madrid ESP,,,PlanetTaxFree,unknown,,,Planettaxfree-Spain Madrid Esp,0,,,,,,,Planettaxfree-Spain Madrid Esp,local
TST* DORAL STEAKHOUSE DORAL,,,Doral Steakhouse,unknown,,,Tst Doral Steakhouse Doral,0,,,,,,,Tst Doral Steakhouse Doral,local
TST* LE ROND MIAMI BEACH,,,Le Rond,unknown,,,Tst Le Rond Miami,0,,,,,,,Tst Le Rond Miami,local
MOBILE DEPOSIT : REF NUMBER :306060536874,,,Financial Transactions,unknown,,,Mobile Number,0,,,,,,,Mobile Number,local
SUNPASS*ACC613078 888-865-5352 FL S465157011591770,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
AMAZON MKTPL*N609W49J1 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*N66OW2DY0 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*N688R1KB1 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*N69IJ66L0 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*NH4GS31V2 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*NH6N26192 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
INTEREST CHARGED ON PURCHASES,,,Interest Charged,unknown,,,Charged On Purchases,0,,,,,,,Charged On Purchases,local
MOBILE DEPOSIT : REF NUMBER :506060537689,,,Financial Transactions,unknown,,,Mobile Number,0,,,,,,,Mobile Number,local
EL FARO LATIN CAFE DORAL,,,El Faro Latin Cafe,unknown,,,El Faro Latin Cafe,0,,,,,,,El Faro Latin Cafe,local
MB-PARKING PARKMOBILE MIAMI BEACH,,,ParkMobile,unknown,,,Mb-Parking Parkmobile Miami Beach,0,,,,,,,Mb-Parking Parkmobile Miami Beach,local
Guarantee Manage RESIDENT,,,Guarantee Manage,unknown,,,Guarantee Manage Resident,0,,,,,,,Guarantee Manage Resident,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS CAR INSURANCE REPAYMENT TO SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
AMAZON MKTPL*N69KS78S1 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*NH32U5AR2 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON RETA* N64E398F1 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
CHEVRON 0203037 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
JPMorgan Chase Ext Trnsfr 250604 MICHEL FALENI FERNANDE,,,Car Andre,unknown,,,Jpmorgan Chase Ext Trnsfr,0,,,,,,,Jpmorgan Chase Ext Trnsfr,local
AMAZON MKTPL*N62UT6AB0 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*N634O8XT1 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*N67O24YP2 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
CASH REWARDS STATEMENT CREDIT,,,Cash Rewards,unknown,,,Cash Rewards,0,,,,,,,Cash Rewards,local
"BK OF AMER MC ONLINE PMT 250604 CKF828154125POS FALENI FERNANDEZ,MICHE",,,Bank of America,unknown,,,Bk Of Amer Mc,0,,,,,,,Bk Of Amer Mc,local
THE HOME DEPOT #3331MIAMI,,,The Home Depot,unknown,,,The Home Depot,0,,,,,,,The Home Depot,local
AMAZON MKTPL*N66BU8R82 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
BA ELECTRONIC PAYMENT,,,Financial Transactions,unknown,,,Ba Electronic Payment,0,,,,,,,Ba Electronic Payment,local
BUN MEE SAN FRANCISCO,,,Bun Mee,unknown,,,Bun Mee San Francisco,0,,,,,,,Bun Mee San Francisco,local
"ISTOURS, INC. FOLSOM",,,ISTOURS,unknown,,,"Istours, Inc. Folsom",0,,,,,,,"Istours, Inc. Folsom",local
ATM WITHDRAWAL AUTHORIZED ON 06/01 570 N Shoreline Blvd Mountain View ATM ID 8457Z,,,Financial Transactions,unknown,,,Atm Authorized On N,0,,,,,,,Atm Authorized On N,local
Kukenam Summer C 250601 98338665 ANDREINA FALENI ANDREI,,,Kukenam,unknown,,,Kukenam Summer C Andreina,0,,,,,,,Kukenam Summer C Andreina,local
PENNYMAC CASH Jun 25-0057 Michel Faleni,,,Balmoral Estates,unknown,,,Pennymac Cash Jun Michel,0,,,,,,,Pennymac Cash Jun Michel,local
RECURRING TRANSFER FROM FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring From Faleni M,0,,,,,,,Recurring From Faleni M,local
AMAZON MKTPL*N60MY23L1 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*N62735DV2 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
CHASE CREDIT CRD EPAY 250530 MICHEL R FALENI,,,Financial Transactions,unknown,,,Chase Crd Epay Michel,0,,,,,,,Chase Crd Epay Michel,local
RECURRING TRANSFER TO FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
VENMO PAYMENT 250602 MICHEL FALENI,,,Tips,unknown,,,Venmo Payment Michel Faleni,0,,,,,,,Venmo Payment Michel Faleni,local
ZELLE FROM AQUILES ADDEO ON 06/02 REF # JPM99BARE737 MTB SHOES AGRADECIDO BRO,,,Aquiles Addeo,zelle,from,AQUILES ADDEO ON 06,Zelle From AQUILES ADDEO ON 06,0,,,,,,,Zelle From AQUILES ADDEO ON 06,local
SQ *COLD PLAY SPECIAL Palm Springs,,,Cold Play Special,unknown,,,Sq Cold Play Special,0,,,,,,,Sq Cold Play Special,local
TOTAL WINE AND MORE MOUNTAIN VIEW,,,Total Wine and More,unknown,,,Total Wine And More,0,,,,,,,Total Wine And More,local
NETFLIX.COM         866-579-7172,,,Netflix,unknown,,,Netflix.Com,0,,,,,,,Netflix.Com,local
AMERICAN0012245113785 PHOENIX AZNAME: FALENI/MICHEL DEPART:01/04/2026 DFW TO MIA: AA: CLASS:Y : STOP: O ASE TO DFW: AA: CLASS:Y : STOP: O CLT TO ASE: AA: CLASS:Y : STOP: O MIA TO CLT: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Michel Depart,0,,,,,,,Phoenix Azname Faleni/Michel Depart,local
AMERICAN0012245113786 PHOENIX AZNAME: FALENI/ANDREINA DEPART:01/04/2026 DFW TO MIA: AA: CLASS:Y : STOP: O ASE TO DFW: AA: CLASS:Y : STOP: O CLT TO ASE: AA: CLASS:Y : STOP: O MIA TO CLT: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Andreina Depart,0,,,,,,,Phoenix Azname Faleni/Andreina Depart,local
AMERICAN0012245113787 PHOENIX AZNAME: FALENI/LORENZO DEPART:01/04/2026 DFW TO MIA: AA: CLASS:Y : STOP: O ASE TO DFW: AA: CLASS:Y : STOP: O CLT TO ASE: AA: CLASS:Y : STOP: O MIA TO CLT: AA: CLASS:Y : STOP: O,,,American Airlines,unknown,,,Phoenix Azname Faleni/Lorenzo Depart,0,,,,,,,Phoenix Azname Faleni/Lorenzo Depart,local
SQ *COLD PLAY SPECIAL Palm Springs,,,Cold Play Special,unknown,,,Sq Cold Play Special,0,,,,,,,Sq Cold Play Special,local
SQ *COLD PLAY SPECIAL Pasadena,,,Cold Play Special,unknown,,,Sq Cold Play Special,0,,,,,,,Sq Cold Play Special,local
TST* AMANDINE LOUNGE LOS ALTOS,,,Amandine Lounge,unknown,,,Tst Amandine Lounge Los,0,,,,,,,Tst Amandine Lounge Los,local
AMAZON MKTPL*NN0N60D60 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
10 BUTCHERS KOREA BBQ SUNNYVALE,,,Butchers Korea BBQ,unknown,,,Butchers Korea Bbq Sunnyvale,0,,,,,,,Butchers Korea Bbq Sunnyvale,local
KYOSHO MENLO PARK,,,KYOSHO,unknown,,,Kyosho Menlo Park,0,,,,,,,Kyosho Menlo Park,local
Refund Globalblue.com Stockholm SWE,,,Globalblue,unknown,,,Refund Globalblue.Com Stockholm Swe,0,,,,,,,Refund Globalblue.Com Stockholm Swe,local
Refund Globalblue.com Stockholm SWE,,,Globalblue,unknown,,,Refund Globalblue.Com Stockholm Swe,0,,,,,,,Refund Globalblue.Com Stockholm Swe,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
OPENAI *CHATGPT SUBSSAN FRANCISCO,,,OpenAI,unknown,,,Openai Chatgpt Subssan Francisco,0,,,,,,,Openai Chatgpt Subssan Francisco,local
AMAZON RETA* NB4BP6PX1 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
"BUS TELE SVCS DIRECT DEP 250530A2Q FALENI,MICHEL",,,BUS TELE SVCS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
"BUS TELE SVCS DIRECT DEP 250530A2Q FALENI,MICHEL",,,BUS TELE SVCS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
Instant Pmt from BUSINESS TELECOMMUNICATIONS SE on 05/30 Ref#20250529021001088P1BAAAA00000033775,,,BUSINESS TELECOMMUNICATIONS SE,unknown,,,Instant Pmt From Business,0,,,,,,,Instant Pmt From Business,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
TOTAL WINE AND MORE MOUNTAIN VIEW,,,Total Wine and More,unknown,,,Total Wine And More,0,,,,,,,Total Wine And More,local
VAT REFUND PAYMENT IRL,,,Tax Refund,unknown,,,Vat Refund Payment Irl,0,,,,,,,Vat Refund Payment Irl,local
SANTANDER BILLPAY,,,Car Mich,unknown,,,Santander Billpay,0,,,,,,,Santander Billpay,local
ZELLE TO BASKETBALL CHARLIE ON 05/29 LORENZO BASKET,,,Basketball Charlie,zelle,to,BASKETBALL CHARLIE ON 05,Zelle To BASKETBALL CHARLIE ON 05,0,,,,,,,Zelle To BASKETBALL CHARLIE ON 05,local
EVVIA ESTIATORIO    PALO ALTO,,,Evvia Estiatorio,unknown,,,Evvia Estiatorio Palo Alto,0,,,,,,,Evvia Estiatorio Palo Alto,local
OPENAI              SAN FRANCISCO,,,OpenAI,unknown,,,Openai San Francisco,0,,,,,,,Openai San Francisco,local
VENMO PAYMENT 250529 MICHEL FALENI,,,Tips,unknown,,,Venmo Payment Michel Faleni,0,,,,,,,Venmo Payment Michel Faleni,local
EL FARO LATIN CAFE DORAL,,,El Faro Latin Cafe,unknown,,,El Faro Latin Cafe,0,,,,,,,El Faro Latin Cafe,local
MONEY TRANSFER AUTHORIZED ON 05/26 APPLE CASH SENT MO 1INFINITELOOP CA S585146665364909,,,1INFINITELOOP,unknown,,,Money Authorized On Apple,0,,,,,,,Money Authorized On Apple,local
HERTZ CAR RENTAL    SAN FRANCISCO,,,Hertz,unknown,,,Hertz Car Rental San,0,,,,,,,Hertz Car Rental San,local
AMAZON MKTPL*NN8XS0W22 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
HEALTHY PAWS PET I TRACIM@HEALTH PA S465143337855191,,,Healthy Paws Pet,unknown,,,Healthy Paws Pet I,0,,,,,,,Healthy Paws Pet I,local
INTERNATIONAL PURCHASE TRANSACTION FEE,,,Financial Transactions,unknown,,,International,0,,,,,,,International,local
RECURRING PAYMENT INTL AUTHORIZED ON 05/25 Amazon Prime*KM2T0 amazon.es/prm LUX S465145272234494,,,Amazon,unknown,,,Recurring Payment Intl Authorized,0,,,,,,,Recurring Payment Intl Authorized,local
T-MOBILE PCS SVC 250523 8455728 MARIA FERNANDEZ,,,T-Mobile,unknown,,,T-Mobile Pcs Svc Maria,0,,,,,,,T-Mobile Pcs Svc Maria,local
HERTZ CAR RENTAL    OKLAHOMA CITY,,,Hertz,unknown,,,Hertz Car Rental Oklahoma,0,,,,,,,Hertz Car Rental Oklahoma,local
AMAZON MKTPL*NN7EC7U72 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
HARPERANDNEYER ZGZ ZARAGOZA ESP,,,HARPERANDNEYER,unknown,,,Harperandneyer Zgz Zaragoza Esp,0,,,,,,,Harperandneyer Zgz Zaragoza Esp,local
AMAZON RETA* NB08T0X91 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
HOTEL LAS LEYENDAS- LA AVILA ESP,,,Hotel Las Leyendas,unknown,,,Hotel Las Leyendas- La,0,,,,,,,Hotel Las Leyendas- La,local
PARKING CALLE JUAN BRA MADRID ESP,,,Parking,unknown,,,Parking Calle Juan Bra,0,,,,,,,Parking Calle Juan Bra,local
